Punkt Startowy,Trasa
"(10, 9)","[(10, 9), (9, 8), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (8, 2), (8, 1), (8, 0)]"
"(1, 5)","[(1, 5), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7)]"
"(3, 8)","[(3, 8), (4, 7)]"
"(1, 7)","[(1, 7), (2, 7), (3, 7)]"
"(7, 4)","[(7, 4), (8, 4)]"
Najdluzsza trasa
"[(1, 5), (2, 6), (3, 7), (4, 7), (5, 7), (6, 7), (7, 7), (8, 7), (8, 6), (8, 5), (8, 4), (8, 3), (8, 2), (8, 1), (8, 0)]"
Dlugosc trasy
15
Przeglebienie
0.3
